iter	MultiClass
0	1.368630398
1	1.352362731
2	1.337359999
3	1.323489247
4	1.310627807
5	1.298671126
6	1.287472776
7	1.277155381
8	1.267545353
9	1.258572495
10	1.250144796
11	1.242325393
12	1.235000804
13	1.228062628
14	1.221563785
15	1.215469798
16	1.209660899
17	1.204344854
18	1.199330866
19	1.194569977
20	1.190095505
21	1.185828953
22	1.181856747
23	1.178172117
24	1.174620971
25	1.171224755
26	1.168084602
27	1.165016975
28	1.162183393
29	1.159609705
30	1.157086059
31	1.154774024
32	1.152586752
33	1.150515635
34	1.148488751
35	1.146668159
36	1.144895533
37	1.143245102
38	1.141688166
39	1.140187048
40	1.138763
41	1.137399813
42	1.13616189
43	1.135009993
44	1.133892783
45	1.13284887
46	1.131709143
47	1.130691096
48	1.129765913
49	1.128862714
50	1.127977269
51	1.127157643
52	1.126456903
53	1.125742908
54	1.125055964
55	1.124372787
56	1.12372659
57	1.123134933
58	1.12251599
59	1.121961847
60	1.121461861
61	1.120911442
62	1.120426338
63	1.120008089
64	1.119571922
65	1.119126271
66	1.118713514
67	1.11828272
68	1.117902399
69	1.117559415
70	1.117212397
71	1.116870608
72	1.116514592
73	1.116236262
74	1.115905216
75	1.115683393
76	1.115367474
77	1.115098606
78	1.114869016
79	1.114589135
80	1.114346879
81	1.11412113
82	1.113913978
83	1.113695504
84	1.113534629
85	1.113269551
86	1.113052582
87	1.112856523
88	1.112633105
89	1.112452339
90	1.112262303
91	1.112072699
92	1.111880304
93	1.111767625
94	1.111584872
95	1.111428588
96	1.11124614
97	1.111106707
98	1.110955158
99	1.110779018
100	1.110639454
101	1.110489452
102	1.110368517
103	1.11021201
104	1.110085256
105	1.109955622
106	1.109813206
107	1.109693649
108	1.109566269
109	1.109431885
110	1.109296194
111	1.109153308
112	1.109044084
113	1.108902598
114	1.108782218
115	1.108662377
116	1.108556738
117	1.108452883
118	1.108330059
119	1.108238678
120	1.108144809
121	1.108031412
122	1.10794902
123	1.107857881
124	1.107773484
125	1.107689938
126	1.107585509
127	1.107435263
128	1.10732619
129	1.107217849
130	1.107130814
131	1.107036126
132	1.106949348
133	1.106886271
134	1.106772476
135	1.106689384
136	1.10663667
137	1.10656651
138	1.106495082
139	1.106372926
140	1.106296754
141	1.106231606
142	1.10617227
143	1.106092562
144	1.106028778
145	1.10593688
146	1.105853385
147	1.105752483
148	1.105694901
149	1.105596238
150	1.105503037
151	1.105450498
152	1.105369505
153	1.105287246
154	1.105190294
155	1.105114188
156	1.105047891
157	1.104931507
158	1.10485675
159	1.104765986
160	1.104707406
161	1.104628636
162	1.104564017
163	1.1045003
164	1.104426472
165	1.104369367
166	1.104303458
167	1.10422656
168	1.104170882
169	1.10411225
170	1.104065902
171	1.103996008
172	1.103906416
173	1.103850568
174	1.103775853
175	1.103693513
176	1.103646985
177	1.103589523
178	1.103543035
179	1.10348262
180	1.103396654
181	1.103333983
182	1.103270405
183	1.103199919
184	1.103111782
185	1.103057486
186	1.1029861
187	1.102911635
188	1.102839323
189	1.102779184
190	1.102694235
191	1.102650119
192	1.102594235
193	1.102526973
194	1.102460909
195	1.102413735
196	1.102356326
197	1.102290897
198	1.102227022
199	1.102174267
200	1.102109863
201	1.102042787
202	1.101995739
203	1.101916134
204	1.101864038
205	1.10181165
206	1.101756986
207	1.101683855
208	1.101635439
209	1.101591593
210	1.101522135
211	1.101473996
212	1.10141271
213	1.101369529
214	1.10132144
215	1.101271688
216	1.101236875
217	1.101177895
218	1.101126931
219	1.101068457
220	1.10099915
221	1.100952792
222	1.100895637
223	1.100842347
224	1.100785987
225	1.100732024
226	1.100686868
227	1.10064889
228	1.100603484
229	1.10055523
230	1.100475632
231	1.100412864
232	1.100365234
233	1.100309871
234	1.100247969
235	1.100198191
236	1.100162775
237	1.100114259
238	1.100029935
239	1.099961608
240	1.099920148
241	1.099862123
242	1.09982128
243	1.099793885
244	1.099751233
245	1.099698893
246	1.099642032
247	1.099596363
248	1.099555123
249	1.099506892
250	1.099453707
251	1.099402717
252	1.099356193
253	1.099304517
254	1.09923786
255	1.099206089
256	1.099172787
257	1.099116159
258	1.099070488
259	1.09900914
260	1.098973584
261	1.098919924
262	1.098881965
263	1.09884654
264	1.098822478
265	1.098751497
266	1.098703827
267	1.098659396
268	1.098629923
269	1.098598882
270	1.098553323
271	1.098523996
272	1.098491865
273	1.098453109
274	1.098402923
275	1.098365241
276	1.098326835
277	1.098286231
278	1.098236595
279	1.098184544
280	1.098140766
281	1.098100173
282	1.098073676
283	1.098039942
284	1.098015601
285	1.097966026
286	1.097931351
287	1.097900412
288	1.097853616
289	1.097812937
290	1.097761436
291	1.097719218
292	1.097665783
293	1.097615661
294	1.097570711
295	1.09753389
296	1.097492582
297	1.097451223
298	1.097420961
299	1.097367704
300	1.097328648
301	1.097288368
302	1.097245823
303	1.097226333
304	1.097189096
305	1.09715481
306	1.097114574
307	1.09706427
308	1.097034137
309	1.097001198
310	1.09696461
311	1.096923031
312	1.096863217
313	1.096827114
314	1.096771929
315	1.096745615
316	1.096686135
317	1.096645666
318	1.096601896
319	1.096572412
