iter	Passed	Remaining
0	17	51305
1	32	49114
2	48	48456
3	64	48486
4	80	48264
5	96	48004
6	114	49130
7	131	49253
8	146	48765
9	162	48705
10	178	48422
11	193	48137
12	208	47950
13	226	48323
14	245	48836
15	261	48781
16	281	49428
17	299	49638
18	316	49588
19	331	49386
20	347	49318
21	363	49210
22	380	49233
23	395	49046
24	410	48908
25	427	48871
26	442	48769
27	461	48987
28	477	48967
29	493	48846
30	508	48725
31	523	48598
32	539	48541
33	556	48521
34	572	48462
35	587	48380
36	604	48393
37	620	48336
38	636	48307
39	651	48217
40	667	48149
41	685	48273
42	701	48272
43	717	48228
44	733	48141
45	752	48336
46	770	48403
47	789	48581
48	811	48853
49	832	49145
50	855	49469
51	884	50145
52	914	50840
53	947	51667
54	973	52115
55	1000	52578
56	1027	53061
57	1054	53501
58	1082	53959
59	1104	54125
60	1129	54418
61	1153	54640
62	1176	54847
63	1195	54850
64	1215	54898
65	1239	55108
66	1259	55146
67	1281	55266
68	1299	55216
69	1321	55325
70	1340	55309
71	1358	55261
72	1380	55335
73	1398	55290
74	1423	55497
75	1441	55441
76	1459	55389
77	1477	55340
78	1494	55247
79	1511	55182
80	1529	55113
81	1550	55181
82	1568	55115
83	1586	55085
84	1602	54968
85	1622	54972
86	1639	54903
87	1657	54862
88	1678	54906
89	1695	54827
90	1713	54790
91	1734	54826
92	1756	54890
93	1774	54850
94	1792	54808
95	1810	54768
96	1829	54767
97	1846	54686
98	1863	54599
99	1880	54548
100	1898	54502
101	1921	54589
102	1941	54606
103	1962	54645
104	1981	54639
105	2001	54649
106	2019	54605
107	2037	54548
108	2056	54539
109	2079	54638
110	2098	54610
111	2119	54663
112	2141	54717
113	2164	54798
114	2183	54776
115	2202	54751
116	2222	54775
117	2243	54800
118	2262	54768
119	2281	54765
120	2300	54748
121	2322	54781
122	2341	54777
123	2363	54813
124	2383	54815
125	2400	54760
126	2419	54741
127	2440	54760
128	2459	54748
129	2479	54737
130	2497	54687
131	2518	54722
132	2537	54706
133	2555	54651
134	2574	54631
135	2592	54595
136	2608	54521
137	2628	54507
138	2646	54472
139	2664	54441
140	2682	54385
141	2701	54369
142	2718	54316
143	2737	54295
144	2755	54255
145	2773	54211
146	2792	54201
147	2811	54185
148	2829	54145
149	2848	54119
150	2867	54099
151	2887	54097
152	2904	54048
153	2924	54048
154	2943	54023
155	2963	54019
156	2983	54019
157	3005	54052
158	3022	54011
159	3042	54013
160	3059	53950
161	3078	53938
162	3097	53903
163	3115	53873
164	3133	53840
165	3150	53794
166	3168	53753
167	3186	53713
168	3206	53707
169	3223	53668
170	3240	53616
171	3259	53594
172	3278	53566
173	3297	53548
174	3317	53554
175	3336	53533
176	3352	53473
177	3372	53468
178	3389	53418
179	3406	53372
180	3426	53371
181	3445	53348
182	3463	53316
183	3481	53278
184	3498	53237
